Source File: D:\Storage\Programs\OOI\Group 5\Correspondence\07_18_14 sample files\files\11079364.WC
Processed: 07/18/2014 17:47:39
Using Version: 1.11
Device: SBE
Start Date: 04/17/2014
Timestamp (s)	Suspect Timestamp	Pressure (dbar)	Velocity (m/s)
1397773539.924	n	2.333	0.160
1397773539.994	n	2.342	0.158
1397773540.050	n	2.351	0.156
1397773540.118	n	2.355	0.144
1397773540.174	n	2.365	0.146
1397773540.241	n	2.373	0.144
1397773540.299	n	2.382	0.144
1397773540.365	n	2.389	0.140
1397773540.424	n	2.395	0.134
1397773540.490	n	2.398	0.124
1397773540.549	n	2.406	0.124
1397773540.615	n	2.411	0.118
1397773540.683	n	2.417	0.116
1397773540.736	n	2.425	0.118
1397773540.806	n	2.432	0.118
1397773540.862	n	2.440	0.120
1397773540.926	n	2.449	0.122
1397773540.985	n	2.454	0.116
1397773541.054	n	2.462	0.118
1397773541.110	n	2.469	0.118
1397773541.178	n	2.477	0.120
1397773541.236	n	2.480	0.110
1397773541.305	n	2.481	0.098
1397773541.360	n	2.491	0.106
1397773541.424	n	2.499	0.108
1397773541.493	n	2.506	0.108
1397773541.548	n	2.514	0.110
1397773541.618	n	2.522	0.112
1397773541.673	n	2.532	0.118
1397773541.741	n	2.538	0.116
1397773541.798	n	2.548	0.122
1397773541.861	n	2.555	0.120
1397773541.923	n	2.566	0.126
1397773541.990	n	2.577	0.132
1397773542.048	n	2.585	0.132
1397773542.115	n	2.591	0.128
1397773542.174	n	2.601	0.132
1397773542.236	n	2.617	0.148
1397773542.306	n	2.626	0.148
1397773542.361	n	2.633	0.144
1397773542.431	n	2.647	0.154
1397773542.486	n	2.653	0.146
1397773542.556	n	2.662	0.146
1397773542.611	n	2.673	0.150
1397773542.679	n	2.678	0.142
1397773542.736	n	2.686	0.140
1397773542.805	n	2.696	0.142
1397773542.863	n	2.705	0.142
1397773542.928	n	2.713	0.140
1397773542.986	n	2.722	0.140
1397773543.053	n	2.729	0.136
1397773543.152	y	2.737	0.134
1397773543.178	n	2.749	0.142
1397773543.236	n	2.754	0.134
1397773543.299	n	2.767	0.144
1397773543.361	n	2.777	0.146
1397773543.427	n	2.788	0.150
1397773543.486	n	2.799	0.154
1397773543.553	n	2.810	0.156
1397773543.611	n	2.823	0.162
1397773543.676	n	2.833	0.162
1397773543.738	n	2.848	0.172
1397773543.799	n	2.863	0.180
1397773543.862	n	2.876	0.184
1397773543.923	n	2.891	0.190
1397773543.994	n	2.900	0.183
1397773544.049	n	2.920	0.200
1397773544.114	n	2.932	0.198
1397773544.173	n	2.950	0.210
1397773544.240	n	2.964	0.212
1397773544.306	n	2.980	0.217
1397773544.361	n	2.994	0.218
1397773544.431	n	3.005	0.211
1397773544.486	n	3.018	0.212
1397773544.548	n	3.029	0.208
1397773544.611	n	3.043	0.210
1397773544.678	n	3.049	0.196
1397773544.736	n	3.065	0.204
1397773544.802	n	3.077	0.202
1397773544.866	n	3.088	0.198
1397773544.927	n	3.098	0.194
1397773544.986	n	3.108	0.190
1397773545.052	n	3.119	0.188
1397773545.119	n	3.128	0.182
1397773545.174	n	3.136	0.176
1397773545.243	n	3.151	0.184
1397773545.298	n	3.161	0.180
1397773545.367	n	3.172	0.180
1397773545.424	n	3.181	0.176
1397773545.491	n	3.195	0.182
1397773545.549	n	3.207	0.184
1397773545.615	n	3.220	0.186
1397773545.673	n	3.233	0.188
1397773545.740	n	3.244	0.186
1397773545.799	n	3.258	0.190
1397773545.866	n	3.275	0.200
1397773545.924	n	3.288	0.200
1397773545.990	n	3.305	0.208
1397773546.056	n	3.318	0.208
1397773546.111	n	3.332	0.210
1397773546.180	n	3.346	0.212
1397773546.237	n	3.357	0.208
1397773546.303	n	3.370	0.208
1397773546.362	n	3.386	0.214
1397773546.429	n	3.403	0.222
1397773546.487	n	3.416	0.220
1397773546.552	n	3.435	0.230
1397773546.610	n	3.453	0.238
1397773546.673	n	3.471	0.244
1397773546.742	n	3.488	0.247
1397773546.799	n	3.505	0.250
1397773546.868	n	3.525	0.257
1397773546.923	n	3.544	0.264
1397773546.989	n	3.562	0.266
1397773547.049	n	3.579	0.266
1397773547.115	n	3.600	0.274
1397773547.174	n	3.622	0.284
1397773547.242	n	3.640	0.284
1397773547.302	n	3.660	0.288
1397773547.361	n	3.680	0.292
1397773547.430	n	3.700	0.295
1397773547.486	n	3.719	0.296
1397773547.553	n	3.741	0.302
1397773547.611	n	3.760	0.302
1397773547.676	n	3.779	0.302
1397773547.736	n	3.800	0.306
1397773547.803	n	3.815	0.298
1397773547.869	n	3.833	0.295
1397773547.924	n	3.853	0.298
1397773547.987	n	3.870	0.294
1397773548.049	n	3.886	0.290
1397773548.111	y	3.903	0.288
1397773548.174	n	3.915	0.276
1397773548.236	n	3.932	0.276
1397773548.303	n	3.946	0.270
1397773548.361	n	3.961	0.266
1397773548.428	n	3.975	0.260
1397773548.486	n	3.989	0.256
1397773548.550	n	3.999	0.244
1397773548.618	n	4.012	0.239
1397773548.674	n	4.027	0.240
1397773548.736	n	4.038	0.232
1397773548.799	n	4.051	0.228
1397773548.870	n	4.060	0.217
1397773548.924	n	4.074	0.218
1397773548.992	n	4.086	0.214
1397773549.048	n	4.100	0.216
1397773549.115	n	4.112	0.212
1397773549.181	n	4.123	0.208
1397773549.236	n	4.134	0.204
1397773549.306	n	4.145	0.199
1397773549.362	n	4.157	0.198
1397773549.429	n	4.170	0.200
1397773549.487	n	4.182	0.198
1397773549.553	n	4.193	0.196
1397773549.612	n	4.206	0.198
1397773549.674	n	4.216	0.194
1397773549.748	n	4.227	0.191
1397773549.799	n	4.235	0.184
1397773549.868	n	4.241	0.172
1397773549.928	n	4.247	0.162
1397773549.987	n	4.257	0.162
1397773550.049	n	4.268	0.164
1397773550.116	n	4.278	0.164
1397773550.174	n	4.286	0.160
1397773550.241	n	4.291	0.150
1397773550.299	n	4.304	0.158
1397773550.363	n	4.309	0.148
1397773550.432	n	4.319	0.150
1397773550.486	n	4.328	0.150
1397773550.555	n	4.342	0.160
1397773550.611	n	4.351	0.158
1397773550.680	n	4.363	0.162
1397773550.736	n	4.370	0.156
1397773550.802	n	4.382	0.160
1397773550.869	n	4.395	0.166
1397773550.930	n	4.406	0.168
1397773550.995	n	4.416	0.165
1397773551.049	n	4.429	0.172
1397773551.119	n	4.439	0.170
1397773551.173	n	4.450	0.170
1397773551.239	n	4.463	0.174
1397773551.298	n	4.474	0.174
1397773551.367	n	4.482	0.168
1397773551.423	n	4.493	0.168
1397773551.489	n	4.500	0.160
1397773551.548	n	4.511	0.162
1397773551.611	n	4.521	0.162
1397773551.674	n	4.532	0.164
1397773551.736	n	4.543	0.166
1397773551.804	n	4.552	0.164
1397773551.870	n	4.561	0.161
1397773551.931	n	4.571	0.162
1397773551.986	n	4.578	0.156
1397773552.055	n	4.589	0.158
1397773552.110	n	4.600	0.160
1397773552.178	n	4.609	0.158
1397773552.243	n	4.618	0.156
1397773552.299	n	4.626	0.152
1397773552.368	n	4.635	0.150
1397773552.424	n	4.643	0.148
1397773552.491	n	4.653	0.150
1397773552.549	n	4.660	0.146
1397773552.617	n	4.668	0.144
1397773552.673	n	4.676	0.142
1397773552.740	n	4.680	0.132
1397773552.799	n	4.687	0.130
1397773552.871	n	4.694	0.127
1397773552.924	n	4.704	0.132
1397773552.986	n	4.709	0.126
1397773553.081	y	4.714	0.120
1397773553.111	n	4.718	0.112
1397773553.184	n	4.724	0.110
1397773553.237	n	4.727	0.102
1397773553.303	n	4.737	0.110
1397773553.361	n	4.742	0.106
1397773553.427	n	4.750	0.108
1397773553.493	n	4.755	0.104
1397773553.549	n	4.759	0.098
1397773553.618	n	4.762	0.092
1397773553.674	n	4.768	0.092
1397773553.740	n	4.773	0.090
1397773553.798	n	4.778	0.088
1397773553.876	n	4.784	0.087
1397773553.927	n	4.788	0.084
1397773553.991	n	4.796	0.090
1397773554.048	n	4.799	0.084
1397773554.111	n	4.805	0.086
1397773554.181	n	4.808	0.082
1397773554.236	n	4.814	0.084
1397773554.303	n	4.819	0.084
1397773554.361	n	4.828	0.092
1397773554.429	n	4.832	0.088
1397773554.486	n	4.834	0.080
1397773554.554	n	4.841	0.084
1397773554.611	n	4.846	0.084
1397773554.677	n	4.848	0.078
1397773554.744	n	4.857	0.086
1397773554.799	n	4.866	0.094
1397773554.878	n	4.866	0.081
1397773554.931	n	4.869	0.078
1397773554.995	n	4.873	0.076
1397773555.050	n	4.880	0.080
1397773555.115	n	4.887	0.084
1397773555.174	n	4.891	0.082
1397773555.242	n	4.896	0.082
1397773555.299	n	4.902	0.084
1397773555.366	n	4.905	0.080
1397773555.424	n	4.913	0.086
1397773555.490	n	4.922	0.094
1397773555.549	n	4.928	0.094
1397773555.615	n	4.938	0.102
1397773555.674	n	4.946	0.106
1397773555.737	n	4.954	0.108
1397773555.805	n	4.959	0.104
1397773555.862	n	4.968	0.108
1397773555.934	n	4.984	0.126
1397773555.987	n	4.995	0.132
1397773556.052	n	5.005	0.136
1397773556.112	n	5.017	0.142
1397773556.178	n	5.028	0.146
1397773556.237	n	5.044	0.160
1397773556.300	n	5.057	0.166
1397773556.368	n	5.073	0.178
1397773556.424	n	5.085	0.180
1397773556.493	n	5.095	0.178
1397773556.549	n	5.114	0.194
1397773556.615	n	5.132	0.206
1397773556.674	n	5.144	0.204
1397773556.741	n	5.160	0.210
1397773556.799	n	5.176	0.216
1397773556.865	n	5.189	0.214
1397773556.926	n	5.210	0.230
1397773556.990	n	5.229	0.240
1397773557.049	n	5.248	0.248
1397773557.113	n	5.263	0.246
1397773557.175	n	5.280	0.250
1397773557.237	n	5.296	0.250
1397773557.306	n	5.318	0.261
1397773557.362	n	5.333	0.260
1397773557.428	n	5.353	0.268
1397773557.487	n	5.373	0.274
1397773557.552	n	5.391	0.276
1397773557.612	n	5.408	0.276
1397773557.677	n	5.430	0.286
1397773557.736	n	5.449	0.288
1397773557.798	n	5.470	0.294
1397773557.877	n	5.487	0.290
1397773557.928	n	5.507	0.296
1397773557.991	n	5.525	0.294
1397773558.048	n	5.541	0.290
1397773558.111	y	5.563	0.298
1397773558.173	n	5.585	0.304
1397773558.240	n	5.602	0.300
1397773558.299	n	5.619	0.296
1397773558.364	n	5.636	0.292
1397773558.430	n	5.656	0.295
1397773558.486	n	5.675	0.296
1397773558.555	n	5.691	0.289
