Profile 0

 mmho/cm   Celsius      dbars     hz
+00.9915  +23.5547  -0000.120      0
+00.9915  +23.5538  -0000.360      0
+00.9915  +23.5540  -0000.460      0
+00.9915  +23.5542  -0000.230      0
+00.9915  +23.5540  -0000.120      0
+00.9915  +23.5541  -0000.330      0
+00.9915  +23.5543  -0000.440      0
+00.9915  +23.5542  -0000.200      0
+00.9915  +23.5544  -0000.120      0
+00.9915  +23.5539  -0000.260      0
+00.9915  +23.5530  -0000.430      0
+00.9915  +23.5525  -0000.390      0
+00.9915  +23.5535  -0000.170      0
+00.9915  +23.5531  -0000.130      0
+00.9915  +23.5531  -0000.270      0
+00.9915  +23.5526  -0000.430      0
+00.9915  +23.5517  -0000.330      0
+00.9915  +23.5519  -0000.130      0
+00.9914  +23.5524  -0000.190      0
+00.9915  +23.5514  -0000.430      0
+00.9914  +23.5515  -0000.370      0
+00.9914  +23.5513  -0000.140      0
+00.9915  +23.5513  -0000.130      0
+00.9914  +23.5504  -0000.360      0
+00.9915  +23.5503  -0000.400      0
+00.9914  +23.5507  -0000.170      0
+00.9913  +23.5496  -0000.110      0
+00.9914  +23.5497  -0000.220      0
+00.9914  +23.5490  -0000.460      0
+00.9914  +23.5489  -0000.420      0
+00.9914  +23.5490  -0000.150      0
+00.9914  +23.5480  -0000.160      0
+00.9913  +23.5484  -0000.180      0
+00.9913  +23.5477  -0000.400      0
+00.9913  +23.5476  -0000.450      0
+00.9913  +23.5470  -0000.170      0
+00.9913  +23.5474  -0000.160      0
+00.9914  +23.5474  -0000.440      0
+00.9913  +23.5476  -0000.330      0
+00.9913  +23.5470  -0000.100      0
+00.9913  +23.5469  -0000.250      0
+00.9913  +23.5461  -0000.420      0
+00.9913  +23.5454  -0000.280      0
+00.9913  +23.5458  -0000.140      0
+00.9913  +23.5447  -0000.430      0
+00.9913  +23.5455  -0000.380      0
+00.9913  +23.5452  -0000.170      0
+00.9913  +23.5451  -0000.250      0
+00.9913  +23.5452  -0000.440      0
+00.9913  +23.5446  -0000.360      0
+00.9912  +23.5448  -0000.160      0
+00.9913  +23.5449  -0000.180      0
