

 Profile 181

mmho/cm,Celsius,dbars,hz
1.5379,16.3026,12.640, 3345
1.5379,16.3018,12.640, 3349
1.5378,16.3017,12.640, 3352
1.5378,16.3017,12.640, 3355
1.5379,16.3010,12.640, 3358
1.5378,16.3016,12.640, 3361
1.5379,16.3006,12.640, 3363
1.5379,16.3009,12.640, 3367
1.5378,16.3009,12.640, 3369
1.5378,16.3008,12.640, 3372
1.5379,16.3006,12.640, 3374
1.5379,16.3005,12.640, 3377
1.5379,16.3002,12.640, 3379
1.5379,16.3007,12.640, 3382
1.5379,16.2999,12.640, 3383
1.5379,16.2998,12.640, 3385
1.5379,16.2995,12.630, 3388
1.5379,16.3002,12.640, 3391

 Profile 181
  CTD turned on at 04/16/2013 01:00:02
  CTD turned off at 04/16/2013 01:05:16
